# Y-M-D_T_H:M:S       ObsNum  Receiver   ObsGoal      ObgPgm      SourceName                ProjectId                   RestFreq      VLSR    TINT    RA          DEC        AZ     EL   A1 E1
2023-03-24T09:45:23   107341  RSR        Pointing     Map(Az)     3c371                     2023-S1-US-17                       0.0     0      68.2  271.711169  69.824474   15.7  33.5  0 0
2023-03-24T09:48:32   107342  RSR        Pointing     Map(Az)     3c371                     2023-S1-US-17                       0.0     0      68.3  271.711169  69.824474   15.5  33.7  0 0
2023-03-24T10:02:57   107348  RSR        Pointing     Map(Az)     3c371                     2023-S1-US-17                       0.0     0      68.2  271.711169  69.824474   14.5  34.6  0 0
2023-03-24T10:17:07   107354  RSR        Pointing     Map(Az)     3c371                     2023-S1-US-17                       0.0     0      68.2  271.711169  69.824474   13.3  35.4  0 0
2023-03-24T10:20:01   107355  RSR        Calibration  Cal         VIIZw800                  2023-S1-US-17                       0.0     0      12.0  276.372500  72.150556   12.7  32.8  0 0
2023-03-24T10:20:57   107356  RSR        Science      Bs          VIIZw800                  2023-S1-US-17                       0.0     0     302.1  276.372500  72.150556   12.6  32.8  0 0
2023-03-24T10:27:02   107357  RSR        Science      Bs          VIIZw800                  2023-S1-US-17                       0.0     0     300.7  276.372500  72.150556   12.2  33.1  0 0
2023-03-24T10:33:10   107358  RSR        Science      Bs          VIIZw800                  2023-S1-US-17                       0.0     0     300.4  276.372500  72.150556   11.7  33.4  0 0
2023-03-24T10:41:29   107359  RSR        Pointing     Map(Az)     3c371                     2023-S1-US-17                       0.0     0      68.2  271.711169  69.824474   11.2  36.6  0 0
2023-03-24T10:43:59   107360  RSR        Calibration  Cal         VIIZw800                  2023-S1-US-17                       0.0     0      12.0  276.372500  72.150556   10.9  33.9  0 0
2023-03-24T10:44:53   107361  RSR        Science      Bs          VIIZw800                  2023-S1-US-17                       0.0     0     301.0  276.372500  72.150556   10.9  34.0  0 0
2023-03-24T10:51:03   107362  RSR        Science      Bs          VIIZw800                  2023-S1-US-17                       0.0     0     300.3  276.372500  72.150556   10.4  34.2  0 0
2023-03-24T10:57:06   107363  RSR        Science      Bs          VIIZw800                  2023-S1-US-17                       0.0     0     301.4  276.372500  72.150556    9.9  34.5  0 0
2023-04-26T10:11:36   108851  RSR        Pointing     Map(Az)     3c371                     2023-S1-US-17                       0.0     0      68.5  271.711169  69.824474    0.9  39.2  0 0
2023-04-26T10:14:35   108852  RSR        Calibration  Cal         NGC6232                   2023-S1-US-17                       0.0     0      12.0  250.834365  70.632550  351.9  37.1  0 0
2023-04-26T10:15:35   108853  RSR        Science      Bs          NGC6232                   2023-S1-US-17                       0.0     0     301.2  250.834365  70.632550  351.8  37.0  0 0
2023-04-26T10:22:04   108854  RSR        Science      Bs          NGC6232                   2023-S1-US-17                       0.0     0     300.2  250.834365  70.632550  351.2  36.8  0 0
2023-04-26T10:28:30   108855  RSR        Science      Bs          NGC6232                   2023-S1-US-17                       0.0     0     302.0  250.834365  70.632550  350.6  36.6  0 0
2023-04-26T10:35:37   108856  RSR        Calibration  Cal         NGC6232                   2023-S1-US-17                       0.0     0      12.0  250.834365  70.632550  350.0  36.3  0 0
2023-04-26T10:36:38   108857  RSR        Science      Bs          NGC6232                   2023-S1-US-17                       0.0     0     301.6  250.834365  70.632550  349.9  36.2  0 0
2023-04-26T10:43:10   108858  RSR        Science      Bs          NGC6232                   2023-S1-US-17                       0.0     0     300.2  250.834365  70.632550  349.3  36.0  0 0
2023-04-26T10:49:40   108859  RSR        Science      Bs          NGC6232                   2023-S1-US-17                       0.0     0     300.6  250.834365  70.632550  348.7  35.7  0 0
2023-04-26T10:58:18   108860  RSR        Pointing     Map(Az)     3c371                     2023-S1-US-17                       0.0     0      68.7  271.711169  69.824474  355.7  38.8  0 0
